,author,title,sentence,sentence_nr,words,kind
1,"Kipling, Rudyard",Kim,Kim  by Rudyard Kipling   Contents   CHAPTER I  CHAPTER II  CHAPTER III  CHAPTER IV  CHAPTER V  CHAPTER VI  CHAPTER VII  CHAPTER VIII  CHAPTER IX  CHAPTER X  CHAPTER XI  CHAPTER XII  CHAPTER XIII  CHAPTER XIV  CHAPTER XV     CHAPTER I   O ye who tread the Narrow Way By Tophetflare to Judgment Day Be gentle when the heathen pray     To Buddha at Kamakura,1,Kim,person
3,"Kipling, Rudyard",Kim,He sat in defiance of municipal orders astride the gun Zam Zammah on her brick platform opposite the old AjaibGherthe Wonder House as the natives call the Lahore Museum,,Lahore,location
4,"Kipling, Rudyard",Kim,Who hold ZamZammah that firebreathing dragon hold the Punjab for the great greenbronze piece is always first of the conquerors loot,3,Punjab,location
5,"Kipling, Rudyard",Kim,There was some justification for Kimhe had kicked Lala Dinanaths boy off the trunnionssince the English held the Punjab and Kim was English,4,Kim,person
6,"Kipling, Rudyard",Kim,There was some justification for Kimhe had kicked Lala Dinanaths boy off the trunnionssince the English held the Punjab and Kim was English,4,Punjab,location
8,"Kipling, Rudyard",Kim,Though he was burned black as any native though he spoke the vernacular by preference and his mothertongue in a clipped uncertain singsong though he consorted on terms of perfect equality with the small boys of the bazar Kim was whitea poor white of the very poorest,5,Kim,person
9,"Kipling, Rudyard",Kim,Though he was burned black as any native though he spoke the vernacular by preference and his mothertongue in a clipped uncertain singsong though he consorted on terms of perfect equality with the small boys of the bazar Kim was whitea poor white of the very poorest,5,Mahbub Ali,person
11,"Kipling, Rudyard",Kim,The halfcaste woman who looked after him she smoked opium and pretended to keep a secondhand furniture shop by the square where the cheap cabs wait told the missionaries that she was Kims mothers sister but his mother had been nursemaid in a Colonels family and had married Kimball OHara a young coloursergeant of the Mavericks an Irish regiment,6,Kim,person
15,"Kipling, Rudyard",Kim,He afterwards took a post on the Sind Punjab and Delhi Railway and his Regiment went home without him,7,Punjab,location
16,"Kipling, Rudyard",Kim,He afterwards took a post on the Sind Punjab and Delhi Railway and his Regiment went home without him,7,Delhi,location
18,"Kipling, Rudyard",Kim,Societies and chaplains anxious for the child tried to catch him but OHara drifted away till he came across the woman who took opium and learned the taste from her and died as poor whites die in India,9,India,location
21,"Kipling, Rudyard",Kim,The third was Kims birthcertificate,11,Kim,person
24,"Kipling, Rudyard",Kim,Those things he was used to say in his glorious opiumhours would yet make little Kimball a man,12,Kim,person
26,"Kipling, Rudyard",Kim,On no account was Kim to part with them for they belonged to a great piece of magicsuch magic as men practised over yonder behind the Museum in the big blueandwhite JadooGherthe Magic House as we name the Masonic Lodge,13,Kim,person
30,"Kipling, Rudyard",Kim,It would he said all come right some day and Kims horn would be exalted between pillarsmonstrous pillarsof beauty and strength,14,Kim,person
33,"Kipling, Rudyard",Kim,The Colonel himself riding on a horse at the head of the finest Regiment in the world would attend to Kimlittle Kim that should have been better off than his father,15,Kim,person
34,"Kipling, Rudyard",Kim,The Colonel himself riding on a horse at the head of the finest Regiment in the world would attend to Kimlittle Kim that should have been better off than his father,15,Kim,person
